region,product,date,revenue,units_sold,inventory,customer_count,churn_rate,promo_active
Midwest,ProductC,2024-11-01,39325.89,692,58.2,197,0.0343,1
Midwest,ProductC,2024-12-01,46256.48,785,67.3,219,0.0319,1
Midwest,ProductC,2025-01-01,38685.33,614,52.2,150,0.0356,0
Midwest,ProductC,2025-02-01,39347.55,657,62.7,155,0.0367,1
Midwest,ProductC,2025-03-01,44831.92,732,65.1,183,0.0363,0
Midwest,ProductC,2025-04-01,48263.27,852,81.1,234,0.0375,0
Midwest,ProductC,2025-05-01,53284.51,897,77.8,216,0.0357,0
Midwest,ProductC,2025-06-01,55250.72,902,79.4,225,0.0332,0
Midwest,ProductC,2025-07-01,41094.9,721,58.0,195,0.0563,0
Midwest,ProductC,2025-08-01,38537.91,642,58.0,175,0.0599,0
Midwest,ProductC,2025-09-01,35076.32,591,51.9,171,0.0536,0
Midwest,ProductC,2025-10-01,44948.6,766,63.0,192,0.037,0
Midwest,ProductC,2025-11-01,39319.9,677,57.5,178,0.0352,1
Midwest,ProductC,2025-12-01,46228.95,780,67.1,177,0.0333,1
Midwest,ProductD,2024-01-01,29019.67,487,43.0,123,0.0367,0
Midwest,ProductD,2024-02-01,29728.25,476,46.8,107,0.0318,1
Midwest,ProductD,2024-03-01,33538.23,567,50.0,192,0.0339,0
Midwest,ProductD,2024-04-01,36526.83,614,56.4,178,0.0325,0
Midwest,ProductD,2024-05-01,40767.8,680,60.5,172,0.0361,0
Midwest,ProductD,2024-06-01,40951.97,702,64.3,190,0.0306,0
Midwest,ProductD,2024-07-01,42346.76,718,63.1,217,0.0365,0
Midwest,ProductD,2024-08-01,40237.45,671,59.3,177,0.0316,0
Midwest,ProductD,2024-09-01,36399.76,613,58.6,165,0.0345,0
Midwest,ProductD,2024-10-01,33679.54,550,48.4,134,0.0336,0
Midwest,ProductD,2024-11-01,29741.93,489,45.3,121,0.0377,1
Midwest,ProductD,2024-12-01,33628.41,584,47.8,143,0.0329,1
Midwest,ProductD,2025-01-01,28915.510000000002,471,38.7,120,0.0363,0
Midwest,ProductD,2025-02-01,28933.68,477,49.2,130,0.0371,1
Midwest,ProductD,2025-03-01,33504.64,557,51.1,152,0.0336,0
Midwest,ProductD,2025-04-01,35567.93,581,49.9,136,0.0344,0
Midwest,ProductD,2025-05-01,40215.55,664,49.4,170,0.0332,0
Midwest,ProductD,2025-06-01,40812.28,672,61.4,169,0.0352,0
Midwest,ProductD,2025-07-01,30962.21,498,48.7,103,0.0549,0
Midwest,ProductD,2025-08-01,28541.26,471,42.7,121,0.0565,0
Midwest,ProductD,2025-09-01,26286.06,463,41.6,128,0.0513,0
Midwest,ProductD,2025-10-01,34114.43,578,53.7,119,0.0367,0
Midwest,ProductD,2025-11-01,29067.0,483,45.5,148,0.0352,1
Midwest,ProductD,2025-12-01,34513.17,573,51.5,138,0.0346,1
Midwest,ProductE,2024-01-01,19690.5,329,25.7,104,0.0354,0
Midwest,ProductE,2024-02-01,20119.37,349,33.0,80,0.0335,1
Midwest,ProductE,2024-03-01,22327.18,370,31.7,105,0.0334,0
Midwest,ProductE,2024-04-01,24283.81,372,28.7,105,0.0353,0
Midwest,ProductE,2024-05-01,27204.52,442,33.0,94,0.0363,0
Midwest,ProductE,2024-06-01,27350.26,477,42.1,132,0.0371,0
Midwest,ProductE,2024-07-01,28259.989999999998,444,33.6,98,0.0361,0
Midwest,ProductE,2024-08-01,26755.69,461,38.7,138,0.0341,0
Midwest,ProductE,2024-09-01,23813.94,384,30.8,107,0.0346,0
Midwest,ProductE,2024-10-01,22819.69,361,30.1,101,0.0345,0
Midwest,ProductE,2024-11-01,19981.09,336,28.3,98,0.0326,1
Midwest,ProductE,2024-12-01,22684.97,355,34.0,113,0.0369,1
Midwest,ProductE,2025-01-01,19692.95,325,26.0,70,0.0334,0
Midwest,ProductE,2025-02-01,19429.83,320,29.1,78,0.0339,1
Midwest,ProductE,2025-03-01,22486.12,353,31.8,91,0.0349,0
Midwest,ProductE,2025-04-01,24079.65,410,37.0,78,0.0372,0
Midwest,ProductE,2025-05-01,26920.510000000002,452,38.3,99,0.0336,0
Midwest,ProductE,2025-06-01,27535.760000000002,479,41.1,122,0.0338,0
Midwest,ProductE,2025-07-01,20472.7,322,26.3,102,0.0583,0
Midwest,ProductE,2025-08-01,19480.43,313,28.8,92,0.0531,0
Midwest,ProductE,2025-09-01,17327.69,279,28.3,49,0.0542,0
Midwest,ProductE,2025-10-01,22574.33,360,30.8,88,0.0382,0
Midwest,ProductE,2025-11-01,20020.25,329,24.8,93,0.033,1
Midwest,ProductE,2025-12-01,22980.53,377,33.1,95,0.0363,1
Northeast,ProductA,2024-01-01,88404.73,1446,128.0,402,0.0358,0
Northeast,ProductA,2024-02-01,89731.74,1512,130.7,458,0.0355,1
Northeast,ProductA,2024-03-01,101223.61,1648,142.5,485,0.0371,0
Northeast,ProductA,2024-04-01,108063.09,1870,173.2,563,0.0347,0
Northeast,ProductA,2024-05-01,123763.66,2095,186.9,588,0.0369,0
Northeast,ProductA,2024-06-01,123321.95,2104,202.3,646,0.0359,0
Northeast,ProductA,2024-07-01,132446.96,2269,198.5,687,0.0337,1
Northeast,ProductA,2024-08-01,123809.47,2074,183.0,610,0.0358,0
Northeast,ProductA,2024-09-01,107480.95,1812,163.4,527,0.037,0
Northeast,ProductA,2024-10-01,100982.88,1806,153.4,545,0.035,0
Northeast,ProductA,2024-11-01,90160.15,1461,137.3,436,0.0331,1
Northeast,ProductA,2024-12-01,102330.77,1743,154.5,485,0.0331,1
Northeast,ProductA,2025-01-01,87960.89,1446,122.5,402,0.0353,0
Northeast,ProductA,2025-02-01,39215.35,643,33.9,172,0.0872,1
Northeast,ProductA,2025-03-01,72893.28,1199,84.2,338,0.0587,0
Northeast,ProductA,2025-04-01,109767.93000000001,1864,164.2,561,0.0353,0
Northeast,ProductA,2025-05-01,122117.33,1946,176.2,573,0.0354,0
Northeast,ProductA,2025-06-01,123468.75,2150,182.8,631,0.0347,0
Northeast,ProductA,2025-07-01,128052.31999999999,2156,183.2,599,0.0364,0
Northeast,ProductA,2025-08-01,121366.68000000001,2014,180.7,593,0.0358,0
Northeast,ProductA,2025-09-01,108588.73,1773,169.9,516,0.0374,0
Northeast,ProductA,2025-10-01,100931.75,1680,149.4,482,0.0373,0
Northeast,ProductA,2025-11-01,89410.43,1443,130.7,431,0.0339,1
Northeast,ProductA,2025-12-01,103969.11,1697,146.4,480,0.0323,1
Northeast,ProductB,2024-01-01,71551.16,1234,105.9,348,0.0348,0
Northeast,ProductB,2024-02-01,75814.51,1292,123.3,358,0.0337,1
Northeast,ProductB,2024-03-01,84157.48,1445,127.2,399,0.0331,0
Northeast,ProductB,2024-04-01,90617.98,1463,129.6,414,0.0359,0
Northeast,ProductB,2024-05-01,102735.1,1773,148.9,517,0.0381,0
Northeast,ProductB,2024-06-01,100977.06999999999,1728,156.2,540,0.0341,0
Northeast,ProductB,2024-07-01,110698.91,1919,166.5,563,0.0343,1
Northeast,ProductB,2024-08-01,102219.20999999999,1700,141.5,584,0.0362,0
Northeast,ProductB,2024-09-01,90780.31,1586,138.9,453,0.0342,0
Northeast,ProductB,2024-10-01,84705.94,1306,118.6,382,0.037,0
Northeast,ProductB,2024-11-01,75991.57,1293,115.0,418,0.0361,1
Northeast,ProductB,2024-12-01,83633.49,1364,118.8,418,0.0354,1
Northeast,ProductB,2025-01-01,72515.26,1249,107.2,379,0.0368,0
Northeast,ProductB,2025-02-01,32899.77,527,25.0,116,0.0825,1
Northeast,ProductB,2025-03-01,62074.81,1102,76.5,305,0.0648,0
Northeast,ProductB,2025-04-01,90293.92,1558,144.8,471,0.0367,0
Northeast,ProductB,2025-05-01,102185.12,1757,154.6,535,0.034,0
Northeast,ProductB,2025-06-01,102163.04,1706,157.2,468,0.0383,0
Northeast,ProductB,2025-07-01,106843.68,1827,162.2,547,0.0368,0
Northeast,ProductB,2025-08-01,100027.71,1717,153.3,469,0.0339,0
Northeast,ProductB,2025-09-01,91659.46,1580,138.6,465,0.0326,0
Northeast,ProductB,2025-10-01,83515.46,1354,122.5,407,0.0358,0
Northeast,ProductB,2025-11-01,74626.67,1258,117.8,340,0.0327,1
Northeast,ProductB,2025-12-01,86869.99,1420,125.9,402,0.0359,1
Northeast,ProductC,2024-01-01,58981.4,1014,90.7,305,0.0367,0
Northeast,ProductC,2024-02-01,60674.42,1044,89.6,332,0.0344,1
Northeast,ProductC,2024-03-01,67164.13,1123,91.5,304,0.037,0
Northeast,ProductC,2024-04-01,72718.69,1250,116.0,360,0.0358,0
Northeast,ProductC,2024-05-01,83105.41,1428,129.2,452,0.0351,0
Northeast,ProductC,2024-06-01,81391.73,1390,121.0,384,0.0348,0
Northeast,ProductC,2024-07-01,87998.0,1495,130.3,406,0.0314,1
Northeast,ProductC,2024-08-01,80976.93,1406,124.3,439,0.0355,0
Northeast,ProductC,2024-09-01,72812.51,1262,119.6,371,0.0345,0
Northeast,ProductC,2024-10-01,66649.28,1141,103.1,366,0.036,0
Northeast,ProductC,2024-11-01,59487.15,974,88.2,226,0.0363,1
Northeast,ProductC,2024-12-01,67249.76,1166,99.7,322,0.0337,1
Northeast,ProductC,2025-01-01,58059.01,953,86.6,249,0.0352,0
Northeast,ProductC,2025-02-01,26232.37,458,23.1,145,0.0917,1
Northeast,ProductC,2025-03-01,49473.36,830,62.1,263,0.0637,0
Northeast,ProductC,2025-04-01,71595.96,1243,118.7,366,0.0363,0
Northeast,ProductC,2025-05-01,80967.24,1352,111.7,387,0.0346,0
Northeast,ProductC,2025-06-01,81548.71,1327,121.3,380,0.0362,0
Northeast,ProductC,2025-07-01,84177.58,1479,129.0,450,0.0313,0
Northeast,ProductC,2025-08-01,79982.98,1370,115.5,413,0.0335,0
Northeast,ProductC,2025-09-01,73024.6,1272,119.3,399,0.0353,0
Northeast,ProductC,2025-10-01,68622.23,1140,102.4,324,0.035,0
Northeast,ProductC,2025-11-01,58548.83,985,88.1,278,0.034,1
Northeast,ProductC,2025-12-01,70186.63,1173,105.6,324,0.0331,1
Northeast,ProductD,2024-01-01,43482.97,705,62.4,176,0.0359,0
Northeast,ProductD,2024-02-01,44966.15,778,72.0,207,0.0353,1
Northeast,ProductD,2024-03-01,50734.64,819,72.5,232,0.0384,0
Northeast,ProductD,2024-04-01,54717.6,941,87.0,260,0.0362,0
Northeast,ProductD,2024-05-01,60631.020000000004,1049,94.8,315,0.0358,0
Northeast,ProductD,2024-06-01,60536.29,1017,92.0,286,0.0353,0
Northeast,ProductD,2024-07-01,66956.42,1118,94.2,314,0.0373,1
Northeast,ProductD,2024-08-01,60528.85,1059,99.1,312,0.0319,0
Northeast,ProductD,2024-09-01,54212.840000000004,926,80.4,266,0.0339,0
Northeast,ProductD,2024-10-01,50603.1,848,76.9,208,0.0333,0
Northeast,ProductD,2024-11-01,44194.8,744,68.6,192,0.0338,1
Northeast,ProductD,2024-12-01,50030.13,809,70.3,259,0.0349,1
Northeast,ProductD,2025-01-01,43075.07,697,63.1,225,0.033,0
Northeast,ProductD,2025-02-01,19575.27,336,22.9,78,0.0854,1
Northeast,ProductD,2025-03-01,37760.78,593,43.7,152,0.0591,0
Northeast,ProductD,2025-04-01,53490.659999999996,934,87.2,255,0.0392,0
Northeast,ProductD,2025-05-01,62354.5,1026,90.8,296,0.033,0
Northeast,ProductD,2025-06-01,61699.61,1063,94.6,319,0.0348,0
Northeast,ProductD,2025-07-01,62971.11,1034,84.6,304,0.0357,0
Northeast,ProductD,2025-08-01,61097.94,1065,100.9,319,0.0365,0
Northeast,ProductD,2025-09-01,54177.9,884,80.7,255,0.0329,0
Northeast,ProductD,2025-10-01,50963.23,874,67.2,275,0.0362,0
Northeast,ProductD,2025-11-01,44034.590000000004,726,70.1,195,0.0357,1
Northeast,ProductD,2025-12-01,51694.39,882,80.1,231,0.0343,1
Northeast,ProductE,2024-01-01,28951.74,478,41.9,131,0.0352,0
Northeast,ProductE,2024-02-01,30622.71,505,47.3,128,0.0368,1
Northeast,ProductE,2024-03-01,33198.05,540,43.9,143,0.0367,0
Northeast,ProductE,2024-04-01,36532.43,615,53.1,171,0.0383,0
Northeast,ProductE,2024-05-01,41174.090000000004,696,64.2,176,0.0351,0
Northeast,ProductE,2024-06-01,40579.24,690,58.1,181,0.0353,0
Northeast,ProductE,2024-07-01,44104.96,744,67.2,207,0.0347,1
Northeast,ProductE,2024-08-01,40033.96,681,60.2,175,0.0367,0
Northeast,ProductE,2024-09-01,35404.54,580,53.4,174,0.0337,0
Northeast,ProductE,2024-10-01,33256.45,558,41.0,153,0.0333,0
Northeast,ProductE,2024-11-01,29724.04,507,46.0,142,0.0338,1
Northeast,ProductE,2024-12-01,33915.71,542,48.2,141,0.0352,1
Northeast,ProductE,2025-01-01,29431.32,461,38.3,121,0.0375,0
Northeast,ProductE,2025-02-01,13049.67,206,10.2,69,0.0897,1
Northeast,ProductE,2025-03-01,24905.05,414,31.0,104,0.0576,0
Northeast,ProductE,2025-04-01,35994.77,617,55.4,185,0.0314,0
Northeast,ProductE,2025-05-01,40424.42,665,61.6,166,0.0343,0
Northeast,ProductE,2025-06-01,40941.13,690,65.8,145,0.0345,0
Northeast,ProductE,2025-07-01,42990.9,723,63.5,206,0.0366,0
Northeast,ProductE,2025-08-01,40733.2,673,60.4,202,0.0348,0
Northeast,ProductE,2025-09-01,36246.16,632,57.2,163,0.0361,0
Northeast,ProductE,2025-10-01,33418.55,556,46.1,141,0.0337,0
Northeast,ProductE,2025-11-01,29327.969999999998,479,42.4,135,0.0348,1
Northeast,ProductE,2025-12-01,34380.24,587,55.6,165,0.0386,1
Southeast,ProductA,2024-01-01,69678.42,1136,100.5,338,0.0355,0
Southeast,ProductA,2024-02-01,68875.27,1178,121.0,293,0.034,0
Southeast,ProductA,2024-03-01,79793.51,1343,119.9,380,0.0368,0
Southeast,ProductA,2024-04-01,85719.36,1489,136.5,436,0.0368,0
Southeast,ProductA,2024-05-01,96476.87,1654,150.3,460,0.0338,0
Southeast,ProductA,2024-06-01,97071.27,1566,143.0,485,0.0329,0
Southeast,ProductA,2024-07-01,107452.73,1871,171.6,580,0.0364,1
Southeast,ProductA,2024-08-01,95968.7,1644,140.8,500,0.0356,0
Southeast,ProductA,2024-09-01,84514.32,1334,128.2,398,0.0352,0
Southeast,ProductA,2024-10-01,79900.92,1401,124.1,411,0.0351,0
Southeast,ProductA,2024-11-01,70365.17,1164,110.6,332,0.0334,1
Southeast,ProductA,2024-12-01,79959.34,1364,115.9,361,0.0328,1
Southeast,ProductA,2025-01-01,69186.47,1164,99.9,328,0.0361,0
Southeast,ProductA,2025-02-01,65646.44,1098,109.2,325,0.0371,0
Southeast,ProductA,2025-03-01,80435.97,1338,122.5,387,0.0361,0
Southeast,ProductA,2025-04-01,86766.39,1409,137.6,407,0.0337,0
Southeast,ProductA,2025-05-01,94952.08,1600,147.3,474,0.0352,0
Southeast,ProductA,2025-06-01,98068.87,1769,167.2,528,0.0339,0
Southeast,ProductA,2025-07-01,100834.57,1713,148.9,517,0.0344,0
Southeast,ProductA,2025-08-01,94781.79000000001,1628,147.3,456,0.0331,0
Southeast,ProductA,2025-09-01,86706.92,1383,125.8,402,0.0345,0
Southeast,ProductA,2025-10-01,79583.20999999999,1335,117.9,390,0.0365,0
Southeast,ProductA,2025-11-01,69842.8,1212,107.6,378,0.0309,1
Southeast,ProductA,2025-12-01,81563.83,1416,123.0,415,0.0354,1
Southeast,ProductB,2024-01-01,56895.56,978,80.6,267,0.0371,0
Southeast,ProductB,2024-02-01,57946.97,964,94.1,271,0.0347,0
Southeast,ProductB,2024-03-01,66782.33,1105,95.4,315,0.0343,0
Southeast,ProductB,2024-04-01,71618.5,1164,103.3,342,0.0379,0
Southeast,ProductB,2024-05-01,80396.89,1356,121.9,388,0.0329,0
Southeast,ProductB,2024-06-01,82417.7,1340,115.5,375,0.037,0
Southeast,ProductB,2024-07-01,88123.26,1521,136.2,442,0.0364,1
Southeast,ProductB,2024-08-01,80266.33,1424,119.0,444,0.0348,0
Southeast,ProductB,2024-09-01,71379.55,1218,112.4,339,0.0339,0
Southeast,ProductB,2024-10-01,65915.34,1152,101.0,297,0.0366,0
Southeast,ProductB,2024-11-01,58518.28,971,92.0,275,0.0341,1
Southeast,ProductB,2024-12-01,67865.15,1151,99.5,354,0.0325,1
Southeast,ProductB,2025-01-01,58208.88,955,78.8,251,0.0362,0
Southeast,ProductB,2025-02-01,55808.31,974,90.4,287,0.0348,0
Southeast,ProductB,2025-03-01,66874.37,1081,97.4,281,0.0356,0
Southeast,ProductB,2025-04-01,72093.13,1223,114.2,351,0.0337,0
Southeast,ProductB,2025-05-01,80200.89,1326,115.8,396,0.0341,0
Southeast,ProductB,2025-06-01,81056.5,1318,118.7,402,0.0366,0
Southeast,ProductB,2025-07-01,82805.65,1416,121.6,449,0.0388,0
Southeast,ProductB,2025-08-01,80797.16,1357,119.7,406,0.034,0
Southeast,ProductB,2025-09-01,72423.41,1223,112.3,396,0.0371,0
Southeast,ProductB,2025-10-01,66692.42,1087,96.5,307,0.0332,0
Southeast,ProductB,2025-11-01,59107.78,982,86.5,269,0.0362,1
Southeast,ProductB,2025-12-01,67552.61,1157,99.5,323,0.0367,1
Southeast,ProductC,2024-01-01,46065.3,750,69.6,220,0.0333,0
Southeast,ProductC,2024-02-01,46320.82,768,68.1,197,0.0371,0
Southeast,ProductC,2024-03-01,53147.34,885,77.5,235,0.0341,0
Southeast,ProductC,2024-04-01,57701.3,945,82.9,269,0.0339,0
Southeast,ProductC,2024-05-01,65281.53,1137,100.8,350,0.0347,0
Southeast,ProductC,2024-06-01,34482.79,583,42.6,160,0.1112,0
Southeast,ProductC,2024-07-01,70353.58,1217,110.1,331,0.0368,1
Southeast,ProductC,2024-08-01,63913.43,1042,88.4,284,0.0342,0
Southeast,ProductC,2024-09-01,57800.49,976,87.6,279,0.0352,0
Southeast,ProductC,2024-10-01,53426.99,909,75.9,228,0.0333,0
Southeast,ProductC,2024-11-01,46833.78,775,75.2,221,0.0367,1
Southeast,ProductC,2024-12-01,52980.5,886,81.0,244,0.0368,1
Southeast,ProductC,2025-01-01,45761.48,741,61.0,216,0.033,0
Southeast,ProductC,2025-02-01,44585.26,763,75.8,203,0.033,0
Southeast,ProductC,2025-03-01,53310.43,879,71.7,236,0.0353,0
Southeast,ProductC,2025-04-01,55766.54,943,88.7,288,0.0352,0
Southeast,ProductC,2025-05-01,64556.22,1079,97.7,310,0.0368,0
Southeast,ProductC,2025-06-01,64816.94,1038,92.6,312,0.0348,0
Southeast,ProductC,2025-07-01,66695.05,1076,101.7,314,0.0376,0
Southeast,ProductC,2025-08-01,62833.95,1049,90.4,280,0.0354,0
Southeast,ProductC,2025-09-01,57102.83,981,82.7,299,0.0339,0
Southeast,ProductC,2025-10-01,53726.23,862,76.5,244,0.033,0
Southeast,ProductC,2025-11-01,47099.19,781,79.0,215,0.0329,1
Southeast,ProductC,2025-12-01,54895.8,991,89.6,290,0.0365,1
Southeast,ProductD,2024-01-01,34410.34,564,46.7,123,0.0357,0
Southeast,ProductD,2024-02-01,34743.53,563,52.8,127,0.0355,0
Southeast,ProductD,2024-03-01,40071.14,661,55.2,210,0.036,0
Southeast,ProductD,2024-04-01,43207.44,714,69.4,214,0.0356,0
Southeast,ProductD,2024-05-01,48773.96,814,70.5,242,0.0353,0
Southeast,ProductD,2024-06-01,48464.29,822,82.9,213,0.0367,0
Southeast,ProductD,2024-07-01,53719.15,946,78.5,253,0.0342,1
Southeast,ProductD,2024-08-01,47929.04,793,69.2,203,0.034,0
Southeast,ProductD,2024-09-01,42902.8,712,61.3,172,0.0345,0
Southeast,ProductD,2024-10-01,40650.14,688,56.4,178,0.0343,0
Southeast,ProductD,2024-11-01,35621.66,582,51.4,153,0.039,1
Southeast,ProductD,2024-12-01,40633.83,680,62.7,183,0.0373,1
Southeast,ProductD,2025-01-01,34534.17,570,49.9,173,0.034,0
Southeast,ProductD,2025-02-01,32959.04,553,53.0,166,0.0341,0
Southeast,ProductD,2025-03-01,39635.63,646,58.1,169,0.0336,0
Southeast,ProductD,2025-04-01,42254.68,718,65.0,182,0.0358,0
Southeast,ProductD,2025-05-01,48481.64,821,68.2,224,0.0357,0
Southeast,ProductD,2025-06-01,48376.66,815,72.1,219,0.0351,0
Southeast,ProductD,2025-07-01,50858.66,794,64.6,228,0.0352,0
Southeast,ProductD,2025-08-01,48072.770000000004,792,70.7,218,0.0329,0
Southeast,ProductD,2025-09-01,43492.93,738,71.0,213,0.0333,0
Southeast,ProductD,2025-10-01,40781.36,683,61.8,170,0.0334,0
Southeast,ProductD,2025-11-01,35892.53,610,55.3,146,0.0353,1
Southeast,ProductD,2025-12-01,40859.57,689,64.6,184,0.0369,1
Southeast,ProductE,2024-01-01,23270.92,395,28.8,107,0.0333,0
Southeast,ProductE,2024-02-01,23118.38,392,41.2,107,0.0339,0
Southeast,ProductE,2024-03-01,26692.37,436,39.9,84,0.0362,0
Southeast,ProductE,2024-04-01,28802.53,477,41.6,137,0.0357,0
Southeast,ProductE,2024-05-01,32060.33,546,49.4,141,0.0371,0
Southeast,ProductE,2024-06-01,31954.59,546,46.8,144,0.0338,0
Southeast,ProductE,2024-07-01,35177.98,583,52.1,132,0.0339,1
Southeast,ProductE,2024-08-01,32253.28,556,47.1,126,0.0352,0
Southeast,ProductE,2024-09-01,28352.82,462,38.8,121,0.035,0
Southeast,ProductE,2024-10-01,26620.9,432,40.5,124,0.0337,0
Southeast,ProductE,2024-11-01,23213.77,370,36.1,80,0.0338,1
Southeast,ProductE,2024-12-01,26694.19,432,36.7,116,0.0354,1
Southeast,ProductE,2025-01-01,23525.47,399,31.1,116,0.0341,0
Southeast,ProductE,2025-02-01,22199.47,348,34.6,83,0.0312,0
Southeast,ProductE,2025-03-01,26385.07,457,38.1,105,0.0369,0
Southeast,ProductE,2025-04-01,28676.21,460,39.8,105,0.0347,0
Southeast,ProductE,2025-05-01,32339.4,540,45.9,119,0.0343,0
Southeast,ProductE,2025-06-01,32892.17,536,45.5,160,0.0367,0
Southeast,ProductE,2025-07-01,33339.0,564,46.2,179,0.0349,0
Southeast,ProductE,2025-08-01,31888.99,536,45.2,149,0.0382,0
Southeast,ProductE,2025-09-01,28652.28,486,42.5,107,0.0346,0
Southeast,ProductE,2025-10-01,26349.18,429,35.1,95,0.0367,0
Southeast,ProductE,2025-11-01,23674.08,388,37.2,78,0.0359,1
Southeast,ProductE,2025-12-01,27081.55,451,35.7,108,0.0365,1
Southwest,ProductA,2024-01-01,50608.53,851,71.9,234,0.0371,0
Southwest,ProductA,2024-02-01,48985.82,838,78.9,206,0.0323,0
Southwest,ProductA,2024-03-01,59453.26,971,83.3,296,0.0369,0
Southwest,ProductA,2024-04-01,63045.24,1085,104.1,313,0.0353,0
Southwest,ProductA,2024-05-01,74861.69,1254,105.0,330,0.0326,1
Southwest,ProductA,2024-06-01,71998.64,1228,109.0,346,0.0352,1
Southwest,ProductA,2024-07-01,74466.76,1230,109.1,373,0.0365,0
Southwest,ProductA,2024-08-01,70950.49,1173,104.4,361,0.0356,0
Southwest,ProductA,2024-09-01,62708.33,1073,102.5,296,0.033,0
Southwest,ProductA,2024-10-01,58690.03,970,83.1,296,0.0345,0
Southwest,ProductA,2024-11-01,52591.54,873,73.1,274,0.0341,1
