date,region,product,revenue,units_sold,inventory,customer_count,churn_rate,promo_active
2024-01-03,West,ProductC,1830.02,28,70,4,0.029,0
2024-01-03,West,ProductD,1355.35,20,71,7,0.0235,0
2024-01-03,West,ProductE,893.66,18,62,8,0.0381,0
2024-01-04,Midwest,ProductA,1735.12,25,70,7,0.0258,0
2024-01-04,Midwest,ProductB,1533.82,27,91,1,0.0284,0
2024-01-04,Midwest,ProductC,1184.26,18,28,0,0.0361,0
2024-01-04,Midwest,ProductD,995.1,13,10,5,0.0254,0
2024-01-04,Midwest,ProductE,643.62,8,22,0,0.033,0
2024-01-04,Northeast,ProductA,2827.68,39,96,11,0.0375,0
2024-01-04,Northeast,ProductB,2287.14,46,91,12,0.047,0
2024-01-04,Northeast,ProductC,2028.14,29,96,8,0.0263,0
2024-01-04,Northeast,ProductD,1480.36,28,77,4,0.0465,0
2024-01-04,Northeast,ProductE,888.99,15,30,1,0.0479,0
2024-01-04,Southeast,ProductA,2430.72,34,129,8,0.0464,0
2024-01-04,Southeast,ProductB,1774.17,38,115,10,0.0479,0
2024-01-04,Southeast,ProductC,1524.74,22,68,4,0.028,0
2024-01-04,Southeast,ProductD,1133.33,16,19,1,0.0458,0
2024-01-04,Southeast,ProductE,783.83,15,58,1,0.0292,0
2024-01-04,Southwest,ProductA,1560.98,23,71,5,0.0323,0
2024-01-04,Southwest,ProductB,1494.69,26,58,6,0.0326,0
2024-01-04,Southwest,ProductC,1176.54,16,50,0,0.0385,0
2024-01-04,Southwest,ProductD,847.8,15,43,2,0.0286,0
2024-01-04,Southwest,ProductE,536.58,9,29,6,0.0339,0
2024-01-04,West,ProductA,2650.38,39,77,15,0.0353,0
2024-01-04,West,ProductB,2076.39,36,99,14,0.0413,0
2024-01-04,West,ProductC,1857.2,41,156,16,0.0416,0
2024-01-04,West,ProductD,1390.97,20,65,3,0.0221,0
2024-01-04,West,ProductE,909.83,14,20,7,0.0454,0
2024-01-05,Midwest,ProductA,2013.66,30,84,9,0.0485,0
2024-01-05,Midwest,ProductB,1703.77,23,51,6,0.0351,0
2024-01-05,Midwest,ProductC,1205.99,17,48,7,0.0423,0
2024-01-05,Midwest,ProductD,972.39,16,46,4,0.0391,0
2024-01-05,Midwest,ProductE,631.93,9,9,6,0.0282,0
2024-01-05,Northeast,ProductA,2626.25,45,105,9,0.047,0
2024-01-05,Northeast,ProductB,2446.41,35,63,13,0.0355,0
2024-01-05,Northeast,ProductC,1731.31,27,54,6,0.0425,0
2024-01-05,Northeast,ProductD,1472.8,22,35,8,0.0207,0
2024-01-05,Northeast,ProductE,1076.23,20,73,3,0.0222,0
2024-01-05,Southeast,ProductA,2493.75,43,121,11,0.0409,0
2024-01-05,Southeast,ProductB,1710.08,28,62,10,0.0202,0
2024-01-05,Southeast,ProductC,1536.39,22,67,12,0.0328,0
2024-01-05,Southeast,ProductD,1097.59,21,52,2,0.0215,0
2024-01-05,Southeast,ProductE,824.32,15,60,4,0.044,0
2024-01-05,Southwest,ProductA,1687.35,29,38,11,0.0426,0
2024-01-05,Southwest,ProductB,1566.62,22,59,5,0.0424,0
2024-01-05,Southwest,ProductC,1153.46,18,33,1,0.0266,0
2024-01-05,Southwest,ProductD,847.45,14,35,2,0.0404,0
2024-01-05,Southwest,ProductE,507.61,8,29,0,0.0238,0
2024-01-05,West,ProductA,2563.98,54,136,17,0.0296,0
2024-01-05,West,ProductB,2060.53,33,81,10,0.0408,0
2024-01-05,West,ProductC,1753.28,26,56,12,0.0363,0
2024-01-05,West,ProductD,1423.9,24,68,5,0.0471,0
2024-01-05,West,ProductE,939.58,15,55,7,0.043,0
2024-01-06,Midwest,ProductA,1535.38,22,77,7,0.0208,0
2024-01-06,Midwest,ProductB,1414.73,26,80,9,0.0319,0
2024-01-06,Midwest,ProductC,1029.55,15,45,7,0.0388,0
2024-01-06,Midwest,ProductD,843.46,17,52,7,0.038,0
2024-01-06,Midwest,ProductE,483.63,9,32,0,0.0304,0
2024-01-06,Northeast,ProductA,2609.8,40,97,9,0.0369,0
2024-01-06,Northeast,ProductB,2095.21,45,141,12,0.0339,0
2024-01-06,Northeast,ProductC,1721.89,37,109,14,0.0298,0
2024-01-06,Northeast,ProductD,1213.62,17,48,8,0.045,0
2024-01-06,Northeast,ProductE,797.43,15,36,1,0.0362,0
2024-01-06,Southeast,ProductA,1939.01,25,53,9,0.0434,0
2024-01-06,Southeast,ProductB,1479.27,22,83,8,0.026,0
2024-01-06,Southeast,ProductC,1253.75,27,49,9,0.0401,0
2024-01-06,Southeast,ProductD,1013.45,16,25,6,0.043,0
2024-01-06,Southeast,ProductE,589.4,11,50,5,0.0234,0
2024-01-06,Southwest,ProductA,1459.72,27,77,11,0.0226,0
2024-01-06,Southwest,ProductB,1143.3,16,23,7,0.0383,0
2024-01-06,Southwest,ProductC,965.47,17,22,0,0.0255,0
2024-01-06,Southwest,ProductD,658.81,12,25,0,0.0464,0
2024-01-06,Southwest,ProductE,478.81,7,17,0,0.0484,0
2024-01-06,West,ProductA,2284.81,39,97,15,0.0302,0
2024-01-06,West,ProductB,1861.44,26,79,8,0.0488,0
2024-01-06,West,ProductC,1514.04,23,74,4,0.0331,0
2024-01-06,West,ProductD,1078.95,16,57,8,0.0442,0
2024-01-06,West,ProductE,817.42,13,26,7,0.0419,0
2024-01-07,Midwest,ProductA,1654.44,22,78,4,0.0238,0
2024-01-07,Midwest,ProductB,1364.28,19,65,1,0.0372,0
2024-01-07,Midwest,ProductC,1092.08,18,40,1,0.0215,0
2024-01-07,Midwest,ProductD,838.42,11,11,3,0.032,0
2024-01-07,Midwest,ProductE,605.08,12,22,8,0.0245,0
2024-01-07,Northeast,ProductA,2489.73,52,143,14,0.0427,0
2024-01-07,Northeast,ProductB,2025.99,30,74,6,0.0438,0
2024-01-07,Northeast,ProductC,1661.54,34,85,13,0.0292,0
2024-01-07,Northeast,ProductD,1317.6,21,61,3,0.0328,0
2024-01-07,Northeast,ProductE,817.28,12,21,0,0.0281,0
2024-01-07,Southeast,ProductA,1845.49,35,83,16,0.0236,0
2024-01-07,Southeast,ProductB,1688.03,27,102,4,0.0265,0
2024-01-07,Southeast,ProductC,1345.01,22,49,8,0.0357,0
2024-01-07,Southeast,ProductD,901.22,16,46,5,0.0268,0
2024-01-07,Southeast,ProductE,620.29,12,9,7,0.0282,0
2024-01-07,Southwest,ProductA,1552.18,23,55,4,0.0223,0
2024-01-07,Southwest,ProductB,1089.78,24,53,9,0.0287,0
2024-01-07,Southwest,ProductC,961.17,18,39,6,0.0336,0
2024-01-07,Southwest,ProductD,752.92,11,49,2,0.0388,0
2024-01-07,Southwest,ProductE,484.25,7,27,2,0.0363,0
2024-01-07,West,ProductA,2158.73,34,90,6,0.0236,0
2024-01-07,West,ProductB,1675.62,24,76,5,0.0268,0
2024-01-07,West,ProductC,1460.34,24,79,7,0.0458,0
2024-01-07,West,ProductD,1221.99,16,47,1,0.0383,0
2024-01-07,West,ProductE,693.92,10,19,0,0.0263,0
2024-01-08,Midwest,ProductA,1817.77,27,95,11,0.0408,0
2024-01-08,Midwest,ProductB,1604.93,29,81,3,0.0365,0
2024-01-08,Midwest,ProductC,1256.7,21,42,2,0.0491,0
2024-01-08,Midwest,ProductD,1062.26,18,58,7,0.0397,0
2024-01-08,Midwest,ProductE,698.37,11,24,4,0.0309,0
2024-01-08,Northeast,ProductA,2730.59,42,147,6,0.0221,0
2024-01-08,Northeast,ProductB,2393.8,47,129,7,0.0371,0
2024-01-08,Northeast,ProductC,2045.28,38,83,11,0.041,0
2024-01-08,Northeast,ProductD,1463.29,19,62,4,0.0224,0
2024-01-08,Northeast,ProductE,977.59,21,72,4,0.0275,0
2024-01-08,Southeast,ProductA,2460.61,51,191,17,0.0373,0
2024-01-08,Southeast,ProductB,1935.79,26,79,4,0.0281,0
2024-01-08,Southeast,ProductC,1500.94,32,80,6,0.0395,0
2024-01-08,Southeast,ProductD,1052.17,14,23,2,0.039,0
2024-01-08,Southeast,ProductE,789.53,13,38,0,0.03,0
2024-01-08,Southwest,ProductA,1745.78,24,68,7,0.0353,0
2024-01-08,Southwest,ProductB,1538.26,28,99,5,0.0273,0
2024-01-08,Southwest,ProductC,1136.33,18,35,6,0.0352,0
2024-01-08,Southwest,ProductD,862.07,12,38,6,0.0437,0
2024-01-08,Southwest,ProductE,578.23,10,18,0,0.0446,0
2024-01-08,West,ProductA,2733.81,40,98,7,0.0261,0
2024-01-08,West,ProductB,2357.98,38,146,12,0.0409,0
2024-01-08,West,ProductC,1783.5,36,137,6,0.0272,0
2024-01-08,West,ProductD,1327.46,26,82,4,0.0228,0
2024-01-08,West,ProductE,870.89,11,54,0,0.0235,0
2024-01-09,Midwest,ProductA,1917.63,34,104,11,0.0456,0
2024-01-09,Midwest,ProductB,1609.59,22,81,2,0.0295,0
2024-01-09,Midwest,ProductC,1339.67,20,76,3,0.0211,0
2024-01-09,Midwest,ProductD,933.83,19,49,6,0.0499,0
2024-01-09,Midwest,ProductE,718.75,10,28,5,0.039,0
2024-01-09,Northeast,ProductA,2670.99,49,109,11,0.05,0
2024-01-09,Northeast,ProductB,2554.59,42,95,13,0.0304,0
2024-01-09,Northeast,ProductC,1757.44,28,73,10,0.0297,0
2024-01-09,Northeast,ProductD,1554.0,30,74,10,0.027,0
2024-01-09,Northeast,ProductE,927.47,13,37,0,0.0412,0
2024-01-09,Southeast,ProductA,2480.4,35,96,6,0.0446,0
2024-01-09,Southeast,ProductB,1777.13,23,63,8,0.0351,0
2024-01-09,Southeast,ProductC,1564.36,24,76,10,0.0332,0
2024-01-09,Southeast,ProductD,1138.3,18,53,1,0.0323,0
2024-01-09,Southeast,ProductE,723.46,11,17,7,0.0491,0
2024-01-09,Southwest,ProductA,1554.93,29,61,9,0.0441,0
2024-01-09,Southwest,ProductB,1419.96,19,61,4,0.0333,0
2024-01-09,Southwest,ProductC,1199.85,21,57,4,0.0327,0
2024-01-09,Southwest,ProductD,788.13,15,50,1,0.0315,0
2024-01-09,Southwest,ProductE,620.77,10,21,6,0.0372,0
2024-01-09,West,ProductA,2609.07,36,76,14,0.0471,0
2024-01-09,West,ProductB,2272.21,48,150,20,0.0312,0
2024-01-09,West,ProductC,1794.33,36,117,7,0.0438,0
2024-01-09,West,ProductD,1267.4,25,68,10,0.0386,0
2024-01-09,West,ProductE,873.4,16,71,8,0.0338,0
2024-01-10,Midwest,ProductA,1920.7,27,78,7,0.0424,0
2024-01-10,Midwest,ProductB,1534.36,27,57,1,0.0242,0
2024-01-10,Midwest,ProductC,1327.04,17,46,0,0.0494,0
2024-01-10,Midwest,ProductD,890.98,12,54,1,0.0437,0
2024-01-10,Midwest,ProductE,668.64,14,31,1,0.0402,0
2024-01-10,Northeast,ProductA,3094.69,41,116,10,0.0397,0
2024-01-10,Northeast,ProductB,2438.46,45,113,11,0.0423,0
2024-01-10,Northeast,ProductC,2009.97,43,137,12,0.0471,0
2024-01-10,Northeast,ProductD,1399.66,26,73,9,0.0306,0
2024-01-10,Northeast,ProductE,941.0,14,29,4,0.0416,0
2024-01-10,Southeast,ProductA,2310.58,35,104,8,0.0471,0
2024-01-10,Southeast,ProductB,1995.53,30,67,9,0.0374,0
2024-01-10,Southeast,ProductC,1526.43,22,63,4,0.0424,0
2024-01-10,Southeast,ProductD,1171.18,23,31,8,0.0491,0
2024-01-10,Southeast,ProductE,810.97,13,27,3,0.0277,0
2024-01-10,Southwest,ProductA,1893.25,39,113,10,0.0336,0
2024-01-10,Southwest,ProductB,1432.64,22,56,1,0.0326,0
2024-01-10,Southwest,ProductC,1091.25,16,26,2,0.023,0
2024-01-10,Southwest,ProductD,847.58,14,37,5,0.021,0
2024-01-10,Southwest,ProductE,558.24,9,13,5,0.0457,0
2024-01-10,West,ProductA,2632.64,40,104,9,0.0482,0
2024-01-10,West,ProductB,2165.25,44,105,21,0.0465,0
2024-01-10,West,ProductC,1715.0,27,107,12,0.0219,0
2024-01-10,West,ProductD,1376.58,19,59,9,0.0322,0
2024-01-10,West,ProductE,852.14,17,72,0,0.0348,0
2024-01-11,Midwest,ProductA,1750.37,26,59,11,0.0343,0
2024-01-11,Midwest,ProductB,1547.34,22,54,3,0.0351,0
2024-01-11,Midwest,ProductC,1349.25,18,52,4,0.046,0
2024-01-11,Midwest,ProductD,969.28,15,52,2,0.0218,0
2024-01-11,Midwest,ProductE,627.56,10,9,2,0.0347,0
2024-01-11,Northeast,ProductA,3006.41,62,201,17,0.0493,0
2024-01-11,Northeast,ProductB,2490.27,44,130,14,0.0237,0
2024-01-11,Northeast,ProductC,1993.71,28,58,11,0.0393,0
2024-01-11,Northeast,ProductD,1354.5,21,46,1,0.0273,0
2024-01-11,Northeast,ProductE,953.24,19,47,4,0.043,0
2024-01-11,Southeast,ProductA,2441.77,47,126,7,0.0299,0
2024-01-11,Southeast,ProductB,1912.28,38,131,10,0.0458,0
2024-01-11,Southeast,ProductC,1656.53,33,84,12,0.0252,0
2024-01-11,Southeast,ProductD,1103.49,17,53,3,0.0437,0
2024-01-11,Southeast,ProductE,766.31,14,52,2,0.0216,0
2024-01-11,Southwest,ProductA,1691.61,28,80,7,0.0336,0
2024-01-11,Southwest,ProductB,1398.24,24,56,6,0.04,0
2024-01-11,Southwest,ProductC,1059.88,18,42,8,0.022,0
2024-01-11,Southwest,ProductD,815.92,11,14,8,0.0422,0
2024-01-11,Southwest,ProductE,568.18,8,26,0,0.0368,0
2024-01-11,West,ProductA,2706.1,37,59,18,0.0382,0
2024-01-11,West,ProductB,2393.81,50,137,12,0.0365,0
2024-01-11,West,ProductC,1766.31,32,114,7,0.0336,0
2024-01-11,West,ProductD,1412.72,22,31,4,0.0456,0
2024-01-11,West,ProductE,865.2,13,31,0,0.0265,0
2024-01-12,Midwest,ProductA,1939.52,28,62,4,0.0302,0
2024-01-12,Midwest,ProductB,1623.35,28,89,10,0.037,0
2024-01-12,Midwest,ProductC,1338.24,28,44,8,0.0385,0
2024-01-12,Midwest,ProductD,1005.08,15,44,4,0.0346,0
2024-01-12,Midwest,ProductE,639.08,10,29,0,0.0234,0
2024-01-12,Northeast,ProductA,3281.79,59,147,17,0.04,0
2024-01-12,Northeast,ProductB,2342.75,34,100,9,0.0491,0
2024-01-12,Northeast,ProductC,2058.22,32,88,11,0.0264,0
2024-01-12,Northeast,ProductD,1425.46,22,56,6,0.0454,0
2024-01-12,Northeast,ProductE,943.5,16,52,7,0.0442,0
2024-01-12,Southeast,ProductA,2153.07,30,122,7,0.0384,0
2024-01-12,Southeast,ProductB,1807.19,28,45,6,0.0449,0
2024-01-12,Southeast,ProductC,1611.76,30,73,11,0.0293,0
2024-01-12,Southeast,ProductD,1113.95,20,54,3,0.037,0
2024-01-12,Southeast,ProductE,796.4,13,9,4,0.0209,0
2024-01-12,Southwest,ProductA,1554.6,22,78,10,0.0459,0
2024-01-12,Southwest,ProductB,1292.77,27,35,6,0.0459,0
2024-01-12,Southwest,ProductC,1166.76,18,58,0,0.0325,0
2024-01-12,Southwest,ProductD,898.11,18,19,1,0.044,0
2024-01-12,Southwest,ProductE,505.2,7,9,2,0.0226,0
2024-01-12,West,ProductA,2521.95,43,103,15,0.0346,0
2024-01-12,West,ProductB,2271.45,34,69,10,0.038,0
2024-01-12,West,ProductC,1781.13,39,114,8,0.0241,0
2024-01-12,West,ProductD,1403.59,26,50,5,0.0424,0
2024-01-12,West,ProductE,847.13,16,39,0,0.035,0
2024-01-13,Midwest,ProductA,1590.18,34,90,12,0.0336,0
2024-01-13,Midwest,ProductB,1305.96,27,76,11,0.0459,0
2024-01-13,Midwest,ProductC,1133.9,16,44,2,0.0339,0
2024-01-13,Midwest,ProductD,841.29,13,49,0,0.0335,0
2024-01-13,Midwest,ProductE,514.05,7,1,0,0.0343,0
2024-01-13,Northeast,ProductA,2447.84,34,69,7,0.0357,0
2024-01-13,Northeast,ProductB,2109.5,37,104,7,0.03,0
2024-01-13,Northeast,ProductC,1721.14,34,74,15,0.0353,0
2024-01-13,Northeast,ProductD,1311.56,18,27,7,0.0446,0
2024-01-13,Northeast,ProductE,823.16,11,12,4,0.0259,0
2024-01-13,Southeast,ProductA,1814.77,28,103,5,0.0253,0
2024-01-13,Southeast,ProductB,1638.74,24,52,2,0.0428,0
2024-01-13,Southeast,ProductC,1365.34,23,91,8,0.0391,0
2024-01-13,Southeast,ProductD,1010.96,15,44,2,0.0245,0
2024-01-13,Southeast,ProductE,665.29,14,53,4,0.0282,0
2024-01-13,Southwest,ProductA,1459.15,31,68,3,0.0285,0
2024-01-13,Southwest,ProductB,1201.22,18,49,7,0.0462,0
2024-01-13,Southwest,ProductC,1062.48,19,72,10,0.0305,0
2024-01-13,Southwest,ProductD,743.52,10,31,1,0.0379,0
2024-01-13,Southwest,ProductE,506.01,6,0,0,0.0437,0
2024-01-13,West,ProductA,2168.52,43,91,17,0.047,0
2024-01-13,West,ProductB,1955.24,35,124,13,0.0252,0
2024-01-13,West,ProductC,1400.71,26,82,7,0.0357,0
2024-01-13,West,ProductD,1142.32,22,57,9,0.0323,0
2024-01-13,West,ProductE,749.95,13,33,7,0.0394,0
2024-01-14,Midwest,ProductA,1662.32,27,71,6,0.0341,0
2024-01-14,Midwest,ProductB,1356.22,19,63,0,0.0495,0
2024-01-14,Midwest,ProductC,1163.57,19,64,8,0.0358,0
2024-01-14,Midwest,ProductD,783.92,10,35,2,0.0242,0
2024-01-14,Midwest,ProductE,620.87,11,33,1,0.0366,0
2024-01-14,Northeast,ProductA,2611.11,37,111,13,0.0422,0
2024-01-14,Northeast,ProductB,1889.83,28,74,7,0.0327,0
2024-01-14,Northeast,ProductC,1691.4,30,80,10,0.0264,0
2024-01-14,Northeast,ProductD,1205.53,16,44,4,0.0241,0
2024-01-14,Northeast,ProductE,844.67,17,61,9,0.0431,0
2024-01-14,Southeast,ProductA,2043.67,29,109,14,0.0301,0
2024-01-14,Southeast,ProductB,1554.19,22,34,11,0.0249,0
2024-01-14,Southeast,ProductC,1292.77,18,63,8,0.025,0
2024-01-14,Southeast,ProductD,1016.71,17,25,4,0.0271,0
2024-01-14,Southeast,ProductE,640.2,10,39,0,0.0335,0
2024-01-14,Southwest,ProductA,1567.75,21,72,7,0.0437,0
2024-01-14,Southwest,ProductB,1259.35,25,56,10,0.0409,0
2024-01-14,Southwest,ProductC,931.62,18,46,7,0.0202,0
2024-01-14,Southwest,ProductD,745.02,15,31,4,0.0365,0
2024-01-14,Southwest,ProductE,510.95,7,35,2,0.0286,0
2024-01-14,West,ProductA,2064.65,42,136,8,0.0286,0
2024-01-14,West,ProductB,1874.33,27,79,4,0.0244,0
2024-01-14,West,ProductC,1508.41,25,98,11,0.0335,0
2024-01-14,West,ProductD,1094.34,19,43,3,0.0351,0
2024-01-14,West,ProductE,753.09,14,67,8,0.0208,0
2024-01-15,Midwest,ProductA,1896.54,37,130,8,0.0409,0
2024-01-15,Midwest,ProductB,1590.57,24,93,11,0.0433,0
2024-01-15,Midwest,ProductC,1158.02,19,64,9,0.026,0
2024-01-15,Midwest,ProductD,907.09,19,47,5,0.0497,0
2024-01-15,Midwest,ProductE,679.56,11,21,7,0.0257,0
2024-01-15,Northeast,ProductA,2913.76,53,106,19,0.0438,0
2024-01-15,Northeast,ProductB,2424.7,41,79,14,0.0379,0
2024-01-15,Northeast,ProductC,1952.71,42,127,18,0.0243,0
2024-01-15,Northeast,ProductD,1426.19,24,65,9,0.0325,0
2024-01-15,Northeast,ProductE,874.7,13,21,2,0.022,0
2024-01-15,Southeast,ProductA,2269.98,37,88,12,0.0366,0
2024-01-15,Southeast,ProductB,1899.97,33,91,5,0.0494,0
2024-01-15,Southeast,ProductC,1522.95,28,66,5,0.0303,0
2024-01-15,Southeast,ProductD,1124.29,16,65,0,0.0421,0
2024-01-15,Southeast,ProductE,801.4,14,21,6,0.0444,0
2024-01-15,Southwest,ProductA,1720.67,28,49,5,0.0398,0
2024-01-15,Southwest,ProductB,1266.22,23,48,9,0.0407,0
2024-01-15,Southwest,ProductC,1073.99,19,55,7,0.0306,0
2024-01-15,Southwest,ProductD,803.6,10,4,1,0.0484,0
2024-01-15,Southwest,ProductE,564.46,11,35,1,0.044,0
2024-01-15,West,ProductA,2467.65,44,120,12,0.03,0
2024-01-15,West,ProductB,2249.83,46,109,7,0.0423,0
2024-01-15,West,ProductC,1775.34,24,72,3,0.0349,0
2024-01-15,West,ProductD,1331.21,22,69,8,0.044,0
2024-01-15,West,ProductE,863.88,12,14,6,0.0447,0
2024-01-16,Midwest,ProductA,2002.43,28,52,8,0.0219,0
2024-01-16,Midwest,ProductB,1567.95,25,71,3,0.0414,0
2024-01-16,Midwest,ProductC,1268.92,17,54,0,0.0353,0
2024-01-16,Midwest,ProductD,984.38,20,65,10,0.0437,0
2024-01-16,Midwest,ProductE,657.82,14,23,0,0.0441,0
2024-01-16,Northeast,ProductA,2945.61,45,145,20,0.0382,0
2024-01-16,Northeast,ProductB,2347.58,34,54,14,0.0434,0
2024-01-16,Northeast,ProductC,2018.83,36,95,6,0.0382,0
2024-01-16,Northeast,ProductD,1540.71,23,67,3,0.0429,0
2024-01-16,Northeast,ProductE,1049.17,16,49,8,0.0395,0
2024-01-16,Southeast,ProductA,2368.95,45,82,11,0.035,0
2024-01-16,Southeast,ProductB,1860.97,32,74,11,0.0278,0
2024-01-16,Southeast,ProductC,1507.94,25,84,3,0.0475,0
2024-01-16,Southeast,ProductD,1084.85,18,42,1,0.0336,0
2024-01-16,Southeast,ProductE,747.1,10,30,6,0.0405,0
2024-01-16,Southwest,ProductA,1787.05,30,106,6,0.0237,0
2024-01-16,Southwest,ProductB,1432.3,28,81,4,0.0413,0
2024-01-16,Southwest,ProductC,1149.55,20,60,8,0.0454,0
2024-01-16,Southwest,ProductD,809.78,15,28,8,0.0238,0
2024-01-16,Southwest,ProductE,582.95,10,38,4,0.0251,0
2024-01-16,West,ProductA,2435.55,39,100,13,0.0293,0
2024-01-16,West,ProductB,2084.25,27,88,4,0.0431,0
2024-01-16,West,ProductC,1733.21,24,46,2,0.0393,0
2024-01-16,West,ProductD,1349.37,23,88,4,0.0463,0
2024-01-16,West,ProductE,867.86,12,48,6,0.049,0
2024-01-17,Midwest,ProductA,1920.75,36,86,17,0.0287,0
2024-01-17,Midwest,ProductB,1769.13,31,87,6,0.046,0
2024-01-17,Midwest,ProductC,1426.55,28,60,9,0.0294,0
2024-01-17,Midwest,ProductD,935.8,13,43,0,0.035,0
2024-01-17,Midwest,ProductE,643.59,11,12,6,0.0352,0
2024-01-17,Northeast,ProductA,2948.71,40,86,9,0.0416,0
2024-01-17,Northeast,ProductB,2410.85,38,105,12,0.0448,0
2024-01-17,Northeast,ProductC,2006.9,43,107,8,0.0373,0
2024-01-17,Northeast,ProductD,1319.69,20,66,3,0.0392,0
